Group,Configuration,f0,f1,f2,f3,Mean±Std,N_folds,Status
Baselines,Sup-only,86.08,85.11,93.59,85.27,87.51±3.53,4,done
Baselines,MT (UNet),86.61,83.72,94.26,85.14,87.43±4.07,4,done
Baselines,MT + DGv4,88.48,84.28,95.35,87.21,88.83±4.06,4,done
Baselines,UAMT,87.19,82.53,93.96,84.09,86.94±4.39,4,done
Baselines,URPC,88.27,83.21,94.66,85.34,87.87±4.31,4,done
Baselines,CPS,86.89,82.98,94.08,85.48,87.36±4.13,4,done
Baselines,U2PL (official),87.74,84.42,93.77,83.75,87.42±3.97,4,done
Baselines,MMS,86.47,76.05,91.57,83.25,84.33±5.63,4,done
Baselines,UniMatch (reimpl.),86.85,82.72,93.27,86.02,87.21±3.82,4,done
Baselines,UniMatch (official),86.52,82.67,91.88,80.89,85.49±4.21,4,done
Baselines,CorrMatch (official),87.41,81.40,92.74,84.46,86.50±4.18,4,done
Baselines,SegMatch (reimpl.),87.32,81.32,94.02,86.60,87.31±4.51,4,done
Baselines,CW-BASS (official),86.35,82.56,93.19,-,-,3,partial
Ours,GeoRisk-SPC (UNet),89.98,82.14,95.01,87.34,88.62±4.65,4,done
Ours,GeoRisk-SPC-DG (full),89.04,84.58,95.42,86.76,88.95±4.05,4,done
Ablation: Risk Source,w/o risk localization,89.48,85.49,95.22,86.83,89.25±3.73,4,done
Ablation: Risk Source,Depth only (G_d),88.88,85.36,95.25,86.98,89.12±3.75,4,done
Ablation: Risk Source,Uncertainty only (U_t),89.36,84.61,95.32,86.50,88.95±4.05,4,done
Ablation: Risk Source,Conflict only (C_conf),89.17,85.41,95.15,86.81,89.14±3.72,4,done
Ablation: Risk Source,Depth + Uncertainty,88.98,85.04,95.23,86.86,89.03±3.84,4,done
Ablation: Component,w/o L_cons,89.01,85.13,95.22,87.53,89.22±3.73,4,done
Ablation: Component,w/o L_bd,88.58,84.78,95.22,87.03,88.90±3.89,4,done
Ablation: Component,Random mask (tau_r=1.0),88.51,-,-,-,-,1,partial
Ablation: Pending,DG encoder w/o risk,-,-,-,-,-,0,pending
Ablation: Pending,tau_r=0.3,-,-,-,-,-,0,pending
Ablation: Pending,tau_r=0.7,-,-,-,-,-,0,pending
Ablation: Pending,tau_c=0.7,-,-,-,-,-,0,pending
Ablation: Pending,tau_c=0.95,-,-,-,-,-,0,pending
